ansible/ansible	python	1257448636772859924157fa76341a698e4bf823	github.com_ansible_ansible_1257448636772859924157fa76341a698e4bf823.patch
ansible/ansible	python	1f80949f964a946773f9d3ac1899535bd2cc2b8e	github.com_ansible_ansible_1f80949f964a946773f9d3ac1899535bd2cc2b8e.patch
ansible/ansible	python	290bfa820d533dc224e0c3fa7dd7c6b907ed0189	github.com_ansible_ansible_290bfa820d533dc224e0c3fa7dd7c6b907ed0189.patch
ansible/ansible	python	3dfb8e81bb5f776a6b00c7a90dd087e85b71f8bb	github.com_ansible_ansible_3dfb8e81bb5f776a6b00c7a90dd087e85b71f8bb.patch
ansible/ansible	python	400a3b984e834a3d357f1c695d18d8b24d2e392a	github.com_ansible_ansible_400a3b984e834a3d357f1c695d18d8b24d2e392a.patch
ansible/ansible	python	40c47b778577cc39f352ead3daf24c596ae5bbe8	github.com_ansible_ansible_40c47b778577cc39f352ead3daf24c596ae5bbe8.patch
ansible/ansible	python	4cecbe81adbc655d7ab734165d3ac539f8ba5981	github.com_ansible_ansible_4cecbe81adbc655d7ab734165d3ac539f8ba5981.patch
ansible/ansible	python	4d748d34f9392aa469da00a85c8e2d5fe6cec52b	github.com_ansible_ansible_4d748d34f9392aa469da00a85c8e2d5fe6cec52b.patch
ansible/ansible	python	5429b85b9f6c2e640074176f36ff05fd5e4d1916	github.com_ansible_ansible_5429b85b9f6c2e640074176f36ff05fd5e4d1916.patch
ansible/ansible	python	566f2467f6ca6e0e817ea793ef802116ad469858	github.com_ansible_ansible_566f2467f6ca6e0e817ea793ef802116ad469858.patch
ansible/ansible	python	62a1295a3e08cb6c3e9f1b2a1e6e5dcaeab32527	github.com_ansible_ansible_62a1295a3e08cb6c3e9f1b2a1e6e5dcaeab32527.patch
ansible/ansible	python	6452a82452f3a721233b50f62419598206442fd9	github.com_ansible_ansible_6452a82452f3a721233b50f62419598206442fd9.patch
ansible/ansible	python	76815d3afccc7baffa196456d092f4de94b4fbb1	github.com_ansible_ansible_76815d3afccc7baffa196456d092f4de94b4fbb1.patch
ansible/ansible	python	8077d8e40148fe77e2393caa5f2b2ea855149d63	github.com_ansible_ansible_8077d8e40148fe77e2393caa5f2b2ea855149d63.patch
ansible/ansible	python	8251d9f4c2bc82632ab992277fcd30ccbf87aa47	github.com_ansible_ansible_8251d9f4c2bc82632ab992277fcd30ccbf87aa47.patch
ansible/ansible	python	87f8d77d70476454f7fe2381bd363a329ce4266c	github.com_ansible_ansible_87f8d77d70476454f7fe2381bd363a329ce4266c.patch
ansible/ansible	python	8c1f701e6e9df29fe991f98265e2dd76acca4b8c	github.com_ansible_ansible_8c1f701e6e9df29fe991f98265e2dd76acca4b8c.patch
ansible/ansible	python	8ed6350e65c82292a631f08845dfaacffe7f07f5	github.com_ansible_ansible_8ed6350e65c82292a631f08845dfaacffe7f07f5.patch
ansible/ansible	python	a02641c0202a643c9d70475789e3f0d8261ae2ee	github.com_ansible_ansible_a02641c0202a643c9d70475789e3f0d8261ae2ee.patch
